Cement (kg/m3),Blast-furnace Slag (kg/m3),Fly Ash (kg/m3),Water (kg/m3),Super-plasticizer (kg/m3),Coarse Aggregate  (kg/m3),Fine Aggregate (kg/m3),Age of testing (day),Concrete compressive strength (MPa) 
167,75.4,167,164,7.9,1007.3,770.1,56,53.46
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,56,48.99
190.3,0,125.2,166.6,9.9,1079,798.9,56,31.72
250,0,95.7,191.8,5.3,948.9,857.2,56,39.64
213.5,0,174.2,159.2,11.7,1043.6,771.9,56,51.26
194.7,0,100.5,170.2,7.5,998,901.8,56,43.39
251.4,0,118.3,192.9,5.8,1043.6,754.3,56,39.27
165,0,143.6,163.8,0,1005.6,900.9,100,37.96
165,128.5,132.1,175.1,8.1,1005.8,746.6,100,55.02
178,129.8,118.6,179.9,3.6,1007.3,746.8,100,49.99
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,100,53.66
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,100,37.68
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,100,56.06
167,75.4,167,164,7.9,1007.3,770.1,100,56.81
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,100,50.94
190.3,0,125.2,166.6,9.9,1079,798.9,100,33.56
250,0,95.7,191.8,5.3,948.9,857.2,100,41.16
213.5,0,174.2,159.2,11.7,1043.6,771.9,100,52.96
194.7,0,100.5,170.2,7.5,998,901.8,100,44.28
251.4,0,118.3,192.9,5.8,1043.6,754.3,100,40.15
446,24,79,162,11.6,967,712,28,57.03
446,24,79,162,11.6,967,712,28,44.42
446,24,79,162,11.6,967,712,28,51.02
446,24,79,162,10.3,967,712,28,53.39
446,24,79,162,11.6,967,712,3,35.36
446,24,79,162,11.6,967,712,3,25.02
446,24,79,162,11.6,967,712,3,23.35
446,24,79,162,11.6,967,712,7,52.01
446,24,79,162,11.6,967,712,7,38.02
446,24,79,162,11.6,967,712,7,39.3
446,24,79,162,11.6,967,712,56,61.07
446,24,79,162,11.6,967,712,56,56.14
446,24,79,162,11.6,967,712,56,55.25
446,24,79,162,10.3,967,712,56,54.77
387,20,94,157,14.3,938,845,28,50.24
387,20,94,157,13.9,938,845,28,46.68
387,20,94,157,11.6,938,845,28,46.68
387,20,94,157,14.3,938,845,3,22.75
387,20,94,157,13.9,938,845,3,25.51
387,20,94,157,11.6,938,845,3,34.77
387,20,94,157,14.3,938,845,7,36.84
387,20,94,157,13.9,938,845,7,45.9
387,20,94,157,11.6,938,845,7,41.67
387,20,94,157,14.3,938,845,56,56.34
387,20,94,157,13.9,938,845,56,47.97
387,20,94,157,11.6,938,845,56,61.46
355,19,97,145,13.1,967,871,28,44.03
355,19,97,145,12.3,967,871,28,55.45
491,26,123,210,3.9,882,699,28,55.55
491,26,123,201,3.9,822,699,28,57.92
491,26,123,210,3.9,882,699,3,25.61
491,26,123,210,3.9,882,699,7,33.49
491,26,123,210,3.9,882,699,56,59.59
491,26,123,201,3.9,822,699,3,29.55
491,26,123,201,3.9,822,699,7,37.92
491,26,123,201,3.9,822,699,56,61.86
424,22,132,178,8.5,822,750,28,62.05
424,22,132,178,8.5,882,750,3,32.01
424,22,132,168,8.9,822,750,28,72.1
424,22,132,178,8.5,822,750,7,39
424,22,132,178,8.5,822,750,56,65.7
424,22,132,168,8.9,822,750,3,32.11
424,22,132,168,8.9,822,750,7,40.29
424,22,132,168,8.9,822,750,56,74.36
202,11,141,206,1.7,942,801,28,21.97
202,11,141,206,1.7,942,801,3,9.85
202,11,141,206,1.7,942,801,7,15.07
202,11,141,206,1.7,942,801,56,23.25
284,15,141,179,5.5,842,801,28,43.73
284,15,141,179,5.5,842,801,3,13.4
284,15,141,179,5.5,842,801,7,24.13
284,15,141,179,5.5,842,801,56,44.52
359,19,141,154,10.9,942,801,28,62.94
359,19,141,154,10.9,942,801,28,59.49
359,19,141,154,10.9,942,801,3,25.12
359,19,141,154,10.9,942,801,3,23.64
359,19,141,154,10.9,942,801,7,35.75
359,19,141,154,10.9,942,801,7,38.61
359,19,141,154,10.9,942,801,56,68.75
359,19,141,154,10.9,942,801,56,66.78
436,0,0,218,0,838.4,719.7,28,23.85
289,0,0,192,0,913.2,895.3,90,32.07
289,0,0,192,0,913.2,895.3,3,11.65
393,0,0,192,0,940.6,785.6,3,19.2
393,0,0,192,0,940.6,785.6,90,48.85
393,0,0,192,0,940.6,785.6,28,39.6
480,0,0,192,0,936.2,712.2,28,43.94
480,0,0,192,0,936.2,712.2,7,34.57
480,0,0,192,0,936.2,712.2,90,54.32
480,0,0,192,0,936.2,712.2,3,24.4
333,0,0,192,0,931.2,842.6,3,15.62
255,0,0,192,0,889.8,945,90,21.86
255,0,0,192,0,889.8,945,7,10.22
289,0,0,192,0,913.2,895.3,7,14.6
255,0,0,192,0,889.8,945,28,18.75
333,0,0,192,0,931.2,842.6,28,31.97
333,0,0,192,0,931.2,842.6,7,23.4
289,0,0,192,0,913.2,895.3,28,25.57
333,0,0,192,0,931.2,842.6,90,41.68
393,0,0,192,0,940.6,785.6,7,27.74
255,0,0,192,0,889.8,945,3,8.2
158.8,238.2,0,185.7,0,1040.6,734.3,7,9.62
239.6,359.4,0,185.7,0,941.6,664.3,7,25.42
238.2,158.8,0,185.7,0,1040.6,734.3,7,15.69
181.9,272.8,0,185.7,0,1012.4,714.3,28,27.94
193.5,290.2,0,185.7,0,998.2,704.3,28,32.63
255.5,170.3,0,185.7,0,1026.6,724.3,7,17.24
272.8,181.9,0,185.7,0,1012.4,714.3,7,19.77
239.6,359.4,0,185.7,0,941.6,664.3,28,39.44
220.8,147.2,0,185.7,0,1055,744.3,28,25.75
397,0,0,185.7,0,1040.6,734.3,28,33.08
382.5,0,0,185.7,0,1047.8,739.3,7,24.07
210.7,316.1,0,185.7,0,977,689.3,7,21.82
158.8,238.2,0,185.7,0,1040.6,734.3,28,21.07
295.8,0,0,185.7,0,1091.4,769.3,7,14.84
255.5,170.3,0,185.7,0,1026.6,724.3,28,32.05
203.5,135.7,0,185.7,0,1076.2,759.3,7,11.96
397,0,0,185.7,0,1040.6,734.3,7,25.45
381.4,0,0,185.7,0,1104.6,784.3,28,22.49
295.8,0,0,185.7,0,1091.4,769.3,28,25.22
228,342.1,0,185.7,0,955.8,674.3,28,39.7
220.8,147.2,0,185.7,0,1055,744.3,7,13.09
316.1,210.7,0,185.7,0,977,689.3,28,38.7
135.7,203.5,0,185.7,0,1076.2,759.3,7,7.51
238.1,0,0,185.7,0,1118.8,789.3,28,17.58
339.2,0,0,185.7,0,1069.2,754.3,7,21.18
135.7,203.5,0,185.7,0,1076.2,759.3,28,18.2
193.5,290.2,0,185.7,0,998.2,704.3,7,17.2
203.5,135.7,0,185.7,0,1076.2,759.3,28,22.63
290.2,193.5,0,185.7,0,998.2,704.3,7,21.86
181.9,272.8,0,185.7,0,1012.4,714.3,7,12.37
170.3,155.5,0,185.7,0,1026.6,724.3,28,25.73
210.7,316.1,0,185.7,0,977,689.3,28,37.81
228,342.1,0,185.7,0,955.8,674.3,7,21.92
290.2,193.5,0,185.7,0,998.2,704.3,28,33.04
381.4,0,0,185.7,0,1104.6,784.3,7,14.54
238.2,158.8,0,185.7,0,1040.6,734.3,28,26.91
186.2,124.1,0,185.7,0,1083.4,764.3,7,8
339.2,0,0,185.7,0,1069.2,754.3,28,31.9
238.1,0,0,185.7,0,1118.8,789.3,7,10.34
252.5,0,0,185.7,0,1111.6,784.3,28,19.77
382.5,0,0,185.7,0,1047.8,739.3,28,37.44
252.5,0,0,185.7,0,1111.6,784.3,7,11.48
316.1,210.7,0,185.7,0,977,689.3,7,24.44
186.2,124.1,0,185.7,0,1083.4,764.3,28,17.6
170.3,155.5,0,185.7,0,1026.6,724.3,7,10.73
272.8,181.9,0,185.7,0,1012.4,714.3,28,31.38
339,0,0,197,0,968,781,3,13.22
339,0,0,197,0,968,781,7,20.97
339,0,0,197,0,968,781,14,27.04
339,0,0,197,0,968,781,28,32.04
339,0,0,197,0,968,781,90,35.17
339,0,0,197,0,968,781,180,36.45
339,0,0,197,0,968,781,365,38.89
236,0,0,194,0,968,885,3,6.47
236,0,0,194,0,968,885,14,12.84
236,0,0,194,0,968,885,28,18.42
236,0,0,194,0,968,885,90,21.95
236,0,0,193,0,968,885,180,24.1
236,0,0,193,0,968,885,365,25.08
277,0,0,191,0,968,856,14,21.26
277,0,0,191,0,968,856,28,25.97
277,0,0,191,0,968,856,3,11.36
277,0,0,191,0,968,856,90,31.25
277,0,0,191,0,968,856,180,32.33
277,0,0,191,0,968,856,360,33.7
254,0,0,198,0,968,863,3,9.31
254,0,0,198,0,968,863,90,26.94
254,0,0,198,0,968,863,180,27.63
254,0,0,198,0,968,863,365,29.79
307,0,0,193,0,968,812,180,34.49
307,0,0,193,0,968,812,365,36.15
307,0,0,193,0,968,812,3,12.54
307,0,0,193,0,968,812,28,27.53
307,0,0,193,0,968,812,90,32.92
236,0,0,193,0,968,885,7,9.99
200,0,0,180,0,1125,845,7,7.84
200,0,0,180,0,1125,845,28,12.25
225,0,0,181,0,1113,833,7,11.17
225,0,0,181,0,1113,833,28,17.34
325,0,0,184,0,1063,783,7,17.54
325,0,0,184,0,1063,783,28,30.57
275,0,0,183,0,1088,808,7,14.2
275,0,0,183,0,1088,808,28,24.5
300,0,0,184,0,1075,795,7,15.58
300,0,0,184,0,1075,795,28,26.85
375,0,0,186,0,1038,758,7,26.06
375,0,0,186,0,1038,758,28,38.21
400,0,0,187,0,1025,745,28,43.7
400,0,0,187,0,1025,745,7,30.14
250,0,0,182,0,1100,820,7,12.73
250,0,0,182,0,1100,820,28,20.87
350,0,0,186,0,1050,770,7,20.28
350,0,0,186,0,1050,770,28,34.29
203.5,305.3,0,203.5,0,963.4,630,7,19.54
250.2,166.8,0,203.5,0,977.6,694.1,90,47.71
157,236,0,192,0,935.4,781.2,90,43.38
141.3,212,0,203.5,0,971.8,748.5,28,29.89
166.8,250.2,0,203.5,0,975.6,692.6,3,6.9
122.6,183.9,0,203.5,0,958.2,800.1,90,33.19
183.9,122.6,0,203.5,0,959.2,800,3,4.9
102,153,0,192,0,887,942,3,4.57
102,153,0,192,0,887,942,90,25.46
122.6,183.9,0,203.5,0,958.2,800.1,28,24.29
166.8,250.2,0,203.5,0,975.6,692.6,28,33.95
200,133,0,192,0,965.4,806.2,3,11.41
108.3,162.4,0,203.5,0,938.2,849,28,20.59
305.3,203.5,0,203.5,0,965.4,631,7,25.89
108.3,162.4,0,203.5,0,938.2,849,90,29.23
116,173,0,192,0,909.8,891.9,90,31.02
141.3,212,0,203.5,0,971.8,748.5,7,10.39
157,236,0,192,0,935.4,781.2,28,33.66
133,200,0,192,0,927.4,839.2,28,27.87
250.2,166.8,0,203.5,0,977.6,694.1,7,19.35
173,116,0,192,0,946.8,856.8,7,11.39
192,288,0,192,0,929.8,716.1,3,12.79
192,288,0,192,0,929.8,716.1,28,39.32
153,102,0,192,0,888,943.1,3,4.78
288,192,0,192,0,932,717.8,3,16.11
305.3,203.5,0,203.5,0,965.4,631,28,43.38
236,157,0,192,0,972.6,749.1,7,20.42
173,116,0,192,0,946.8,856.8,3,6.94
212,141.3,0,203.5,0,973.4,750,7,15.03
236,157,0,192,0,972.6,749.1,3,13.57
183.9,122.6,0,203.5,0,959.2,800,90,32.53
166.8,250.2,0,203.5,0,975.6,692.6,7,15.75
102,153,0,192,0,887,942,7,7.68
288,192,0,192,0,932,717.8,28,38.8
212,141.3,0,203.5,0,973.4,750,28,33
102,153,0,192,0,887,942,28,17.28
173,116,0,192,0,946.8,856.8,28,24.28
183.9,122.6,0,203.5,0,959.2,800,28,24.05
133,200,0,192,0,927.4,839.2,90,36.59
192,288,0,192,0,929.8,716.1,90,50.73
133,200,0,192,0,927.4,839.2,7,13.66
305.3,203.5,0,203.5,0,965.4,631,3,14.14
236,157,0,192,0,972.6,749.1,90,47.78
108.3,162.4,0,203.5,0,938.2,849,3,2.33
157,236,0,192,0,935.4,781.2,7,16.89
288,192,0,192,0,932,717.8,7,23.52
212,141.3,0,203.5,0,973.4,750,3,6.81
212,141.3,0,203.5,0,973.4,750,90,39.7
153,102,0,192,0,888,943.1,28,17.96
236,157,0,192,0,972.6,749.1,28,32.88
116,173,0,192,0,909.8,891.9,28,22.35
183.9,122.6,0,203.5,0,959.2,800,7,10.79
108.3,162.4,0,203.5,0,938.2,849,7,7.72
203.5,305.3,0,203.5,0,963.4,630,28,41.68
203.5,305.3,0,203.5,0,963.4,630,3,9.56
133,200,0,192,0,927.4,839.2,3,6.88
288,192,0,192,0,932,717.8,90,50.53
200,133,0,192,0,965.4,806.2,7,17.17
200,133,0,192,0,965.4,806.2,28,30.44
250.2,166.8,0,203.5,0,977.6,694.1,3,9.73
122.6,183.9,0,203.5,0,958.2,800.1,3,3.32
153,102,0,192,0,888,943.1,90,26.32
200,133,0,192,0,965.4,806.2,90,43.25
116,173,0,192,0,909.8,891.9,3,6.28
173,116,0,192,0,946.8,856.8,90,32.1
250.2,166.8,0,203.5,0,977.6,694.1,28,36.96
305.3,203.5,0,203.5,0,965.4,631,90,54.6
192,288,0,192,0,929.8,716.1,7,21.48
157,236,0,192,0,935.4,781.2,3,9.69
153,102,0,192,0,888,943.1,7,8.37
141.3,212,0,203.5,0,971.8,748.5,90,39.66
116,173,0,192,0,909.8,891.9,7,10.09
141.3,212,0,203.5,0,971.8,748.5,3,4.83
122.6,183.9,0,203.5,0,958.2,800.1,7,10.35
166.8,250.2,0,203.5,0,975.6,692.6,90,43.57
203.5,305.3,0,203.5,0,963.4,630,90,51.86
310,0,0,192,0,1012,830,3,11.85
310,0,0,192,0,1012,830,7,17.24
310,0,0,192,0,1012,830,28,27.83
310,0,0,192,0,1012,830,90,35.76
310,0,0,192,0,1012,830,120,38.7
331,0,0,192,0,1025,821,3,14.31
331,0,0,192,0,1025,821,7,17.44
331,0,0,192,0,1025,821,28,31.74
331,0,0,192,0,1025,821,90,37.91
331,0,0,192,0,1025,821,120,39.38
349,0,0,192,0,1056,809,3,15.87
349,0,0,192,0,1056,809,7,9.01
349,0,0,192,0,1056,809,28,33.61
349,0,0,192,0,1056,809,90,40.66
349,0,0,192,0,1056,809,120,40.86
238,0,0,186,0,1119,789,7,12.05
238,0,0,186,0,1119,789,28,17.54
296,0,0,186,0,1090,769,7,18.91
296,0,0,186,0,1090,769,28,25.18
297,0,0,186,0,1040,734,7,30.96
480,0,0,192,0,936,721,28,43.89
480,0,0,192,0,936,721,90,54.28
397,0,0,186,0,1040,734,28,36.94
281,0,0,186,0,1104,774,7,14.5
281,0,0,185,0,1104,774,28,22.44
500,0,0,200,0,1125,613,1,12.64
500,0,0,200,0,1125,613,3,26.06
500,0,0,200,0,1125,613,7,33.21
500,0,0,200,0,1125,613,14,36.94
500,0,0,200,0,1125,613,28,44.09
540,0,0,173,0,1125,613,7,52.61
540,0,0,173,0,1125,613,14,59.76
540,0,0,173,0,1125,613,28,67.31
540,0,0,173,0,1125,613,90,69.66
540,0,0,173,0,1125,613,180,71.62
540,0,0,173,0,1125,613,270,74.17
350,0,0,203,0,974,775,7,18.13
350,0,0,203,0,974,775,14,22.53
350,0,0,203,0,974,775,28,27.34
350,0,0,203,0,974,775,56,29.98
350,0,0,203,0,974,775,90,31.35
350,0,0,203,0,974,775,180,32.72
385,0,0,186,0,966,763,1,6.27
385,0,0,186,0,966,763,3,14.7
385,0,0,186,0,966,763,7,23.22
385,0,0,186,0,966,763,14,27.92
385,0,0,186,0,966,763,28,31.35
331,0,0,192,0,978,825,180,39
331,0,0,192,0,978,825,360,41.24
349,0,0,192,0,1047,806,3,14.99
331,0,0,192,0,978,825,3,13.52
382,0,0,186,0,1047,739,7,24
382,0,0,186,0,1047,739,28,37.42
382,0,0,186,0,1111,784,7,11.47
281,0,0,186,0,1104,774,28,22.44
339,0,0,185,0,1069,754,7,21.16
339,0,0,185,0,1069,754,28,31.84
295,0,0,185,0,1069,769,7,14.8
295,0,0,185,0,1069,769,28,25.18
238,0,0,185,0,1118,789,28,17.54
296,0,0,192,0,1085,765,7,14.2
296,0,0,192,0,1085,765,28,21.65
296,0,0,192,0,1085,765,90,29.39
331,0,0,192,0,879,825,3,13.52
331,0,0,192,0,978,825,7,16.26
331,0,0,192,0,978,825,28,31.45
331,0,0,192,0,978,825,90,37.23
349,0,0,192,0,1047,806,7,18.13
349,0,0,192,0,1047,806,28,32.72
349,0,0,192,0,1047,806,90,39.49
349,0,0,192,0,1047,806,180,41.05
349,0,0,192,0,1047,806,360,42.13
302,0,0,203,0,974,817,14,18.13
302,0,0,203,0,974,817,180,26.74
525,0,0,189,0,1125,613,180,61.92
500,0,0,200,0,1125,613,90,47.22
500,0,0,200,0,1125,613,180,51.04
500,0,0,200,0,1125,613,270,55.16
540,0,0,173,0,1125,613,3,41.64
252,0,0,185,0,1111,784,7,13.71
252,0,0,185,0,1111,784,28,19.69
339,0,0,185,0,1060,754,28,31.65
393,0,0,192,0,940,758,3,19.11
393,0,0,192,0,940,758,28,39.58
393,0,0,192,0,940,758,90,48.79
382,0,0,185,0,1047,739,7,24
382,0,0,185,0,1047,739,28,37.42
252,0,0,186,0,1111,784,7,11.47
310,0,0,192,0,970,850,7,14.99
310,0,0,192,0,970,850,28,27.92
310,0,0,192,0,970,850,90,34.68
310,0,0,192,0,970,850,180,37.33
310,0,0,192,0,970,850,360,38.11
525,0,0,189,0,1125,613,3,33.8
525,0,0,189,0,1125,613,7,42.42
525,0,0,189,0,1125,613,14,48.4
525,0,0,189,0,1125,613,28,55.94
525,0,0,189,0,1125,613,90,58.78
525,0,0,189,0,1125,613,270,67.11
322,0,0,203,0,974,800,14,20.77
322,0,0,203,0,974,800,28,25.18
322,0,0,203,0,974,800,180,29.59
302,0,0,203,0,974,817,28,21.75
397,0,0,185,0,1040,734,28,39.09
480,0,0,192,0,936,721,3,24.39
522,0,0,146,0,896,896,7,50.51
522,0,0,146,0,896,896,28,74.99
273,105,82,210,9,904,680,28,37.17
162,190,148,179,19,838,741,28,33.76
154,144,112,220,10,923,658,28,16.5
147,115,89,202,9,860,829,28,19.99
152,178,139,168,18,944,695,28,36.35
310,143,111,168,22,914,651,28,33.69
144,0,175,158,18,943,844,28,15.42
304,140,0,214,6,895,722,28,33.42
374,0,0,190,7,1013,730,28,39.05
159,149,116,175,15,953,720,28,27.68
153,239,0,200,6,1002,684,28,26.86
310,143,0,168,10,914,804,28,45.3
305,0,100,196,10,959,705,28,30.12
151,0,184,167,12,991,772,28,15.57
142,167,130,174,11,883,785,28,44.61
298,137,107,201,6,878,655,28,53.52
321,164,0,190,5,870,774,28,57.21
366,187,0,191,7,824,757,28,65.91
280,129,100,172,9,825,805,28,52.82
252,97,76,194,8,835,821,28,33.4
165,0,150,182,12,1023,729,28,18.03
156,243,0,180,11,1022,698,28,37.36
160,188,146,203,11,829,710,28,32.84
298,0,107,186,6,879,815,28,42.64
318,0,126,210,6,861,737,28,40.06
287,121,94,188,9,904,696,28,41.94
326,166,0,174,9,882,790,28,61.23
356,0,142,193,11,801,778,28,40.87
132,207,161,179,5,867,736,28,33.3
322,149,0,186,8,951,709,28,52.42
164,0,200,181,13,849,846,28,15.09
314,0,113,170,10,925,783,28,38.46
321,0,128,182,11,870,780,28,37.26
140,164,128,237,6,869,656,28,35.23
288,121,0,177,7,908,829,28,42.13
298,0,107,210,11,880,744,28,31.87
265,111,86,195,6,833,790,28,41.54
160,250,0,168,12,1049,688,28,39.45
166,260,0,183,13,859,827,28,37.91
276,116,90,180,9,870,768,28,44.28
322,0,116,196,10,818,813,28,31.18
149,139,109,193,6,892,780,28,23.69
159,187,0,176,11,990,789,28,32.76
261,100,78,201,9,864,761,28,32.4
237,92,71,247,6,853,695,28,28.63
313,0,113,178,8,1002,689,28,36.8
155,183,0,193,9,1047,697,28,18.28
146,230,0,202,3,827,872,28,33.06
296,0,107,221,11,819,778,28,31.42
133,210,0,196,3,949,795,28,31.03
313,145,0,178,8,867,824,28,44.39
152,0,112,184,8,992,816,28,12.18
153,145,113,178,8,1002,689,28,25.56
140,133,103,200,7,916,753,28,36.44
149,236,0,176,13,847,893,28,32.96
300,0,120,212,10,878,728,28,23.84
153,145,113,178,8,867,824,28,26.23
148,0,137,158,16,1002,830,28,17.95
326,0,138,199,11,801,792,28,40.68
153,145,0,178,8,1000,822,28,19.01
262,111,86,195,5,895,733,28,33.72
158,0,195,220,11,898,713,28,8.54
151,0,185,167,16,1074,678,28,13.46
273,0,90,199,11,931,762,28,32.24
149,118,92,183,7,953,780,28,23.52
143,169,143,191,8,967,643,28,29.72
260,101,78,171,10,936,763,28,49.77
313,161,0,178,10,917,759,28,52.44
284,120,0,168,7,970,794,28,40.93
336,0,0,182,3,986,817,28,44.86
145,0,134,181,11,979,812,28,13.2
150,237,0,174,12,1069,675,28,37.43
144,170,133,192,8,814,805,28,29.87
331,170,0,195,8,811,802,28,56.61
155,0,143,193,9,1047,697,28,12.46
155,183,0,193,9,877,868,28,23.79
135,0,166,180,10,961,805,28,13.29
266,112,87,178,10,910,745,28,39.42
314,145,113,179,8,869,690,28,46.23
313,145,0,127,8,1000,822,28,44.52
146,173,0,182,3,986,817,28,23.74
144,136,106,178,7,941,774,28,26.14
148,0,182,181,15,839,884,28,15.52
277,117,91,191,7,946,666,28,43.57
298,0,107,164,13,953,784,28,35.86
313,145,0,178,8,1002,689,28,41.05
155,184,143,194,9,880,699,28,28.99
289,134,0,195,6,924,760,28,46.24
148,175,0,171,2,1000,828,28,26.92
145,0,179,202,8,824,869,28,10.54
313,0,0,178,8,1000,822,28,25.1
136,162,126,172,10,923,764,28,29.07
155,0,143,193,9,877,868,28,9.74
255,99,77,189,6,919,749,28,33.8
162,207,172,216,10,822,638,28,39.84
136,196,98,199,6,847,783,28,26.97
164,163,128,197,8,961,641,28,27.23
162,214,164,202,10,820,680,28,30.65
157,214,152,200,9,819,704,28,33.05
149,153,194,192,8,935,623,28,24.58
135,105,193,196,6,965,643,28,21.91
159,209,161,201,7,848,669,28,30.88
144,15,195,176,6,1021,709,28,15.34
154,174,185,228,7,845,612,28,24.34
167,187,195,185,7,898,636,28,23.89
184,86,190,213,6,923,623,28,22.93
156,178,187,221,7,854,614,28,29.41
236.9,91.7,71.5,246.9,6,852.9,695.4,28,28.63
313.3,0,113,178.5,8,1001.9,688.7,28,36.8
154.8,183.4,0,193.3,9.1,1047.4,696.7,28,18.29
145.9,230.5,0,202.5,3.4,827,871.8,28,32.72
296,0,106.7,221.4,10.5,819.2,778.4,28,31.42
133.1,210.2,0,195.7,3.1,949.4,795.3,28,28.94
313.3,145,0,178.5,8,867.2,824,28,40.93
151.6,0,111.9,184.4,7.9,992,815.9,28,12.18
153.1,145,113,178.5,8,1001.9,688.7,28,25.56
139.9,132.6,103.3,200.3,7.4,916,753.4,28,36.44
149.5,236,0,175.8,12.6,846.8,892.7,28,32.96
299.8,0,119.8,211.5,9.9,878.2,727.6,28,23.84
153.1,145,113,178.5,8,867.2,824,28,26.23
148.1,0,136.6,158.1,16.1,1001.8,830.1,28,17.96
326.5,0,137.9,199,10.8,801.1,792.5,28,38.63
152.7,144.7,0,178.1,8,999.7,822.2,28,19.01
261.9,110.5,86.1,195.4,5,895.2,732.6,28,33.72
158.4,0,194.9,219.7,11,897.7,712.9,28,8.54
150.7,0,185.3,166.7,15.6,1074.5,678,28,13.46
272.6,0,89.6,198.7,10.6,931.3,762.2,28,32.25
149,117.6,91.7,182.9,7.1,953.4,780.3,28,23.52
143,169.4,142.7,190.7,8.4,967.4,643.5,28,29.73
259.9,100.6,78.4,170.6,10.4,935.7,762.9,28,49.77
312.9,160.5,0,177.6,9.6,916.6,759.5,28,52.45
284,119.7,0,168.3,7.2,970.4,794.2,28,40.93
336.5,0,0,181.9,3.4,985.8,816.8,28,44.87
